claim_id,categoria,afirmacion_controlada,estado_permitido,fuente_maestra,ubicacion_objetivo,evidencia_requerida,propietario_revision,accion_si_no_hay_evidencia,riesgo_publicacion,version
CLM-001,Identidad,"NESGESFinance Ecosystem es una infraestructura tecnológica orientada a la coordinación, registro y trazabilidad de iniciativas vinculadas a activos del mundo real sobre Bitcoin.",Implementado,Whitepaper Institucional v3.1,Inicio y Acerca de,Documento institucional vigente,Dirección Institucional,Reformular como propósito institucional,Medio,3.1
CLM-002,Entidad,"NESGESFinance Ecosystem S.A.S. BIC opera como coordinador tecnológico.",Implementado,Whitepaper Institucional v3.1 y Paquete Jurídico-Comunicacional v3.1,Legal y Pie de página,Documentación societaria y revisión jurídica,Asesoría Jurídica,Retirar si no se confirma la entidad operadora,Alto,3.1
CLM-003,Entidad,"NESGESFinance Ecosystem S.A.S. LLC puede actuar como vehículo corporativo o SPV cuando una estructura independiente haya sido formalizada.",Condicionado,Whitepaper Institucional v3.1 y Paquete Jurídico-Comunicacional v3.1,Legal y Documentación,Instrumentos constitutivos y estructuración aplicable,Asesoría Jurídica,Usar lenguaje conceptual y no afirmar emisiones activas,Alto,3.1
CLM-004,Token,"NGF•BTC•AM corresponde a una Rune inscrita en Bitcoin.",Implementado,Especificación Técnica NGF•BTC•AM v3.1,NGF Token y Transparencia,Consulta verificable en explorador público,Responsable Técnico,Retirar si la consulta on-chain no coincide,Alto,3.1
CLM-005,Token,"NGF•BTC•AM tiene Rune Number #208,645.",Implementado,Especificación Técnica NGF•BTC•AM v3.1,NGF Token,Consulta verificable en explorador público,Responsable Técnico,Corregir según registro on-chain,Alto,3.1
CLM-006,Token,"NGF•BTC•AM tiene Rune ID 923867:120.",Implementado,Especificación Técnica NGF•BTC•AM v3.1,NGF Token,Consulta verificable en explorador público,Responsable Técnico,Corregir según registro on-chain,Alto,3.1
CLM-007,Token,"NGF•BTC•AM posee un suministro fijo de 5.930.000.000 unidades.",Implementado,Especificación Técnica NGF•BTC•AM v3.1,NGF Token y Tokenomics,Consulta verificable en explorador público,Responsable Técnico,Corregir según registro on-chain,Alto,3.1
CLM-008,Token,"NGF•BTC•AM tiene divisibilidad 0.",Implementado,Especificación Técnica NGF•BTC•AM v3.1,NGF Token,Consulta verificable en explorador público,Responsable Técnico,Corregir según registro on-chain,Alto,3.1
CLM-009,Token,"NGF•BTC•AM no es minteable ni quemable.",Implementado,Especificación Técnica NGF•BTC•AM v3.1,NGF Token y Riesgos,Consulta verificable en explorador público,Responsable Técnico,Corregir según registro on-chain,Alto,3.1
CLM-010,Token,"NGF•BTC•AM es un activo de utilidad técnica y no otorga acciones, dividendos, intereses, derechos de crédito ni participación societaria.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1 y Paquete Jurídico-Comunicacional v3.1,NGF Token y Legal,Revisión jurídica del texto publicado,Asesoría Jurídica,No publicar sin delimitación legal completa,Alto,3.1
CLM-011,Token,"No existe garantía de recompra, soporte de precio, liquidez, convertibilidad ni rentabilidad para NGF•BTC•AM.",Aprobado para comunicación,Paquete Jurídico-Comunicacional v3.1,Legal y Divulgación de Riesgos,Revisión jurídica del texto publicado,Asesoría Jurídica,No suavizar ni eliminar la advertencia,Alto,3.1
CLM-012,Tokenomics,"La Reserva representa el 30% del suministro: 1.779.000.000 unidades.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1,Tokenomics,Tabla oficial v5.0 validada,Dirección Institucional,Corregir cualquier gráfico o tabla divergente,Alto,3.1
CLM-013,Tokenomics,"Proyectos representa el 25% del suministro: 1.482.500.000 unidades.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1,Tokenomics,Tabla oficial v5.0 validada,Dirección Institucional,Corregir cualquier gráfico o tabla divergente,Alto,3.1
CLM-014,Tokenomics,"Social y Ambiental representa el 15% del suministro: 889.500.000 unidades.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1,Tokenomics,Tabla oficial v5.0 validada,Dirección Institucional,Corregir cualquier gráfico o tabla divergente,Alto,3.1
CLM-015,Tokenomics,"Alianzas y Gobernanza representa el 10% del suministro: 593.000.000 unidades.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1,Tokenomics,Tabla oficial v5.0 validada,Dirección Institucional,Corregir cualquier gráfico o tabla divergente,Alto,3.1
CLM-016,Tokenomics,"Tesorería representa el 10% del suministro: 593.000.000 unidades.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1,Tokenomics,Tabla oficial v5.0 validada,Dirección Institucional,Corregir cualquier gráfico o tabla divergente,Alto,3.1
CLM-017,Tokenomics,"Comunidad representa el 5% del suministro: 296.500.000 unidades.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1,Tokenomics,Tabla oficial v5.0 validada,Dirección Institucional,Corregir cualquier gráfico o tabla divergente,Alto,3.1
CLM-018,Tokenomics,"Equipo representa el 4% del suministro: 237.200.000 unidades.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1,Tokenomics,Tabla oficial v5.0 validada,Dirección Institucional,Corregir cualquier gráfico o tabla divergente,Alto,3.1
CLM-019,Tokenomics,"Operativo representa el 1% del suministro: 59.300.000 unidades.",Aprobado para comunicación,Especificación Técnica NGF•BTC•AM v3.1,Tokenomics,Tabla oficial v5.0 validada,Dirección Institucional,Corregir cualquier gráfico o tabla divergente,Alto,3.1
CLM-020,Proceso,"La postulación de iniciativas se presenta como un proceso genérico sujeto a evaluación, debida diligencia y estructuración independiente.",Aprobado para comunicación,Whitepaper Institucional v3.1 y Paquete Jurídico-Comunicacional v3.1,Proyectos y Formularios,Flujo de postulación publicado y revisado,Dirección Institucional,No prometer selección, financiación ni emisión,Alto,3.1
CLM-021,Proceso,"El envío de una postulación no implica aprobación, compromiso de emisión ni financiamiento.",Aprobado para comunicación,Paquete Jurídico-Comunicacional v3.1,Formulario de Postulación,Texto de consentimiento implementado,Responsable Web,No habilitar formulario sin este texto,Alto,3.1
CLM-022,Gobernanza,"La participación comunitaria se describe como consultiva mientras no exista un instrumento legal y técnico que establezca efectos vinculantes.",Aprobado para comunicación,Whitepaper Institucional v3.1,Governance,Modelo de gobernanza formalmente aprobado,Dirección Institucional,Usar únicamente el término consultiva,Alto,3.1
CLM-023,Seguridad,"Las transacciones en Bitcoin L1 son finales e irreversibles una vez confirmadas según las reglas de la red.",Aprobado para comunicación,Paquete Jurídico-Comunicacional v3.1,Wallet, Seguridad y Consentimientos,Advertencia visible antes de toda interacción on-chain,Responsable Técnico,No activar funciones de firma sin advertencia,Alto,3.1
CLM-024,Seguridad,"El usuario conserva responsabilidad exclusiva sobre sus claves privadas, frases semilla y direcciones de destino.",Aprobado para comunicación,Paquete Jurídico-Comunicacional v3.1,Wallet, Seguridad y Consentimientos,Advertencia visible antes de toda interacción on-chain,Responsable Técnico,No afirmar recuperación de claves o reversión de operaciones,Alto,3.1
CLM-025,Privacidad,"Los formularios que recolecten datos personales deben mostrar una política de privacidad y obtener consentimiento informado.",Aprobado para comunicación,Paquete Jurídico-Comunicacional v3.1,Formularios y Legal,Flujo de consentimiento verificable,Responsable Web,Desactivar envío de formularios hasta implementarlo,Alto,3.1
CLM-026,Cumplimiento,"Los procesos KYC/AML solo pueden presentarse como disponibles cuando exista un flujo operativo, responsable, resguardo y revisión definidos.",Condicionado,Paquete Jurídico-Comunicacional v3.1,KYC y Compliance,Procedimiento operativo aprobado,Oficial de Cumplimiento,Marcar como no disponible públicamente,Alto,3.1
CLM-027,Infraestructura,"Las funciones Lightning, Taproot Assets, wallet, P2P, trading y API solo se etiquetarán como implementadas cuando cuenten con evidencia técnica comprobable.",Control editorial,Matriz de Alineación GitHub Pages v3.1,Todas las rutas funcionales,Prueba técnica y revisión de seguridad,Responsable Técnico,Usar En desarrollo, Planificado o No disponible públicamente,Alto,3.1
CLM-028,Transparencia,"Toda afirmación pública debe identificarse como Implementado, En desarrollo, Planificado, Conceptual o No disponible públicamente.",Control editorial,Matriz de Alineación GitHub Pages v3.1,Todas las rutas públicas,Revisión editorial previa a publicación,Dirección Institucional,No publicar afirmaciones sin clasificación,Medio,3.1
CLM-029,Legal,"Las referencias a fideicomisos, patrimonios autónomos o trust requieren instrumento jurídico formal antes de afirmarse como estructuras activas.",Aprobado para comunicación,Paquete Jurídico-Comunicacional v3.1,Legal,Instrumento jurídico aplicable,Asesoría Jurídica,Usar lenguaje conceptual o eliminar,Alto,3.1
